"Species","Family","Prop.S","Strategy"
"Citrus_lucida","rutaceae",48.71111111,"Porctree"
"Acacia_pennata","fabaceae",26.99666667,"Climber"
"Alangium_salviifolium","cornaceae",78.02222222,"Porctree"
"Artabotrys_hexapetalus","annonaceae",67.725,"Crown defense"
"Zanthoxylum_myriacanthum","rutaceae",24.44358974,"Spiktree"
"Bombax_ceiba","malvaceae",13.73333333,"Spiktree"
"Pachira_quinata","malvaceae",0.777777778,"Spiktree"
"Caesalpinia_cucullata","fabaceae",40.275,"Climber"
"Caesalpinia_minax","fabaceae",3.283333333,"Climber"
"Cassia_javanica","fabaceae",59.45833333,"Porctree"
"Catanuregam_spinosa","rubiaceae",50.76666667,"Crown defense"
"Ceiba_pentandra","malvaceae",16.44666667,"Spiktree"
"Ceiba_speciosa","malvaceae",12.03,"Spiktree"
"Cratoxylum_cochinchinense","hypericaceae",41.42962963,"Porctree"
"Maclura_cochinchinesis","moraceae",41.25555556,"Crown defense"
"Elaeagnus_conferta","elaeagnaceae",64.11111111,"Crown defense"
"Flacourtia_indica","salicaceae",13.92916667,"Porctree"
"Flacourtia_rukam","salicaceae",47.13055556,"Porctree"
"Gleditsia_microphylla","fabaceae",3.725,"Porctree"
"Gmelina_asiatica","lamiaceae",31.55,"Crown defense"
"Gmelina_philippensis","lamiaceae",58.86666667,"Crown defense"
"Hura_crepitans","euphorbiaceae",0.755555556,"Spiktree"
"Maytenus_austroyunnanensis","celastraceae",52.81666667,"Crown defense"
"Maytenus_hookeri","celastraceae",46.51111111,"Crown defense"
"Olax_scandens","olaceae",83.725,"Climber"
"Paliurus_ramosissimus","rhamnaceae",32.04166667,"Crown defense"
"Rhamnella_wilsonii","rhamnaceae",54.98,"Crown defense"
"Quisqualis_caudata","combretaceae",43.24166667,"Climber"
"Combretum_indicum","combretaceae",67.45,"Climber"
"Sapium_glandulosum","euphorbiaceae",80.98666667,"Crown defense"
"Zanthoxylum_armatum","rutaceae",23.1,"Spiktree"
